"Cart %1 is empty","Cart %1 is empty"
"Custom order data could not be saved!","Custom order data could not be saved!"
"Order %1 does not exist","Order %1 does not exist"
"Other information","Informazioni aggiuntive."
"Electronic billing code(SDI): ","Codice Fatturazione Elettronica(SDI): "
"Goods mark","Goods mark"
Comment,Comment
"It's necessary for our.","E' fondamentale se sei un'attività"
"Electronic billing code","Codice Fatturazione Elettronica"
"If you don't have the code, you can skip this step.","Se non sei un'attività puoi saltare questo passaggio."
